1940.png,1
1947.png,1
1634.png,0
1921.png,2
1649.png,0
1798.png,0
1820.png,2
1964.png,0
1787.png,2
1666.png,0
1711.png,0
1931.png,2
1767.png,2
1833.png,1
1936.png,2
1779.png,1
1723.png,0
1684.png,0
1859.png,1
1624.png,1
1671.png,0
96.png,1
1927.png,1
1900.png,1
1659.png,0
1841.png,0
1827.png,1
1688.png,0
1760.png,1
1937.png,1
1691.png,2
1952.png,2
1703.png,0
1699.png,1
1803.png,2
1658.png,2
1996.png,0
1754.png,0
1733.png,2
1883.png,1
1971.png,0
1730.png,2
1826.png,1
1673.png,0
1663.png,0
1877.png,0
1753.png,0
1858.png,0
1816.png,0
93.png,0
1866.png,1
1879.png,0
1751.png,2
95.png,1
1892.png,2
1875.png,0
1805.png,0
1862.png,0
1772.png,0
1739.png,1
1837.png,0
1676.png,0
82_11_1.png,0
1749.png,0
1755.png,1
1891.png,1
1825.png,1
1953.png,0
1967.png,0
1632.png,1
1991.png,2
1941.png,0
1770.png,2
1990.png,2
83_10.5_1.png,1
1795.png,0
1854.png,1
1818.png,0
1629.png,1
1784.png,1
1631.png,1
1913.png,1
1763.png,0
1917.png,0
1695.png,0
1641.png,2
1896.png,1
1707.png,2
1912.png,0
1736.png,0
1808.png,0
1768.png,2
1690.png,0
1844.png,0
1919.png,0
1970.png,1
1675.png,2
1762.png,1
1713.png,0
1704.png,0
1869.png,0
1981.png,0
1880.png,0
1648.png,0
1831.png,0
1786.png,0
1720.png,0
1855.png,1
1916.png,0
1700.png,1
1811.png,0
1899.png,0
1640.png,1
1939.png,1
1742.png,1
88_9.8_0.png,0
1759.png,1
1689.png,0
1840.png,0
1685.png,1
91_10.3_1.png,0
1914.png,0
1824.png,0
1661.png,2
1848.png,0
1806.png,1
1903.png,1
1923.png,1
1639.png,0
1943.png,1
1644.png,0
1681.png,0
1817.png,1
1654.png,0
1949.png,1
1636.png,1
1982.png,0
1746.png,1
1735.png,1
1876.png,0
1959.png,1
1872.png,2
1882.png,2
1887.png,1
1835.png,1
1643.png,0
1777.png,1
1935.png,0
1712.png,1
1748.png,0
1907.png,1
1902.png,0
1842.png,0
97.png,1
1790.png,1
1761.png,1
1714.png,1
1660.png,1
1930.png,2
1686.png,1
1998.png,1
1904.png,0
1928.png,0
1801.png,0
1653.png,0
1785.png,0
1780.png,2
1853.png,1
1622.png,2
1989.png,0
1888.png,0
1978.png,0
1881.png,1
1993.png,2
1969.png,1
89_9.5_0.png,0
1747.png,0
1979.png,0
1766.png,0
1901.png,0
1868.png,0
2000.png,0
1934.png,2
84_9.3_0.png,0
1670.png,0
1963.png,1
1850.png,1
1819.png,2
1802.png,1
1867.png,2
1897.png,1
1985.png,1
1983.png,2
1834.png,0
1961.png,0
1725.png,0
92_11_1.png,0
1926.png,1
1791.png,1
1815.png,1
1623.png,2
1664.png,0
1807.png,0
87_10.5_0.png,1
1966.png,0
1709.png,2
1909.png,2
1992.png,1
1856.png,0
85_8.9_0.png,1
1683.png,0
1910.png,1
1962.png,1
1717.png,0
1950.png,1
1974.png,0
1732.png,0
1898.png,1
1863.png,0
1915.png,1
86_12.2_1.png,0
1911.png,1
1694.png,0
1799.png,1
1674.png,0
1847.png,1
94.png,0
1920.png,0
1705.png,2
1994.png,0
1830.png,0
1922.png,1
1630.png,0
1885.png,2
1995.png,0
1997.png,1
1706.png,1
1682.png,1
1756.png,0
1740.png,0
1957.png,2
1710.png,1
1929.png,0
1796.png,1
1718.png,1
1792.png,1
1797.png,1
1745.png,1
1781.png,1
1633.png,1
1958.png,1
1721.png,1
1828.png,1
1938.png,2
1679.png,0
1986.png,0
1976.png,0
1894.png,0
1836.png,0
1774.png,1
1737.png,0
1650.png,0
1716.png,0
1741.png,1
1908.png,1
1932.png,0
1698.png,1
1667.png,1
1788.png,1
1734.png,1
1731.png,1
1988.png,1
1635.png,2
1832.png,1
1822.png,2
1668.png,1
1625.png,1
1804.png,2
1758.png,0
99.png,1
1857.png,1
1955.png,0
1789.png,0
1933.png,0
1812.png,0
1677.png,2
1697.png,1
1987.png,0
1864.png,0
1696.png,2
1924.png,0
1813.png,0
1861.png,0
1948.png,0
1657.png,0
1925.png,0
1942.png,1
1757.png,0
1874.png,1
1960.png,1
1870.png,0
1646.png,0
1843.png,0
1873.png,1
1687.png,1
1809.png,0
1977.png,1
1823.png,1
1669.png,0
1884.png,1
1889.png,1
1724.png,2
1810.png,0
1852.png,1
1905.png,0
100.png,0
1814.png,1
1680.png,1
1621.png,0
1846.png,1
1794.png,2
1980.png,1
1821.png,0
1890.png,2
1893.png,0
1793.png,0
1692.png,0
1765.png,1
1764.png,0
1647.png,0
1829.png,0
1999.png,0
1944.png,0
1782.png,0
1965.png,1
1956.png,2
1954.png,0
1651.png,0
1951.png,0
1743.png,2
1628.png,1
1727.png,0
1672.png,1
98.png,1
1665.png,1
1637.png,2
1769.png,1
1871.png,0
1655.png,0
1895.png,0
1839.png,0
1776.png,1
1627.png,0
1638.png,1
1771.png,1
1645.png,1
1662.png,0
1778.png,0
81_12_1.png,0
1728.png,2
1702.png,2
1775.png,1
1886.png,2
1652.png,0
1945.png,2
1946.png,2
1849.png,1
1738.png,0
1752.png,2
1626.png,0
1838.png,1
1783.png,0
1972.png,1
1701.png,1
1642.png,2
1773.png,0
1800.png,0
1865.png,0
1984.png,2
1693.png,0
1708.png,1
1851.png,2
1729.png,2
1878.png,1
1744.png,0
1906.png,1
1975.png,2
1968.png,0
1750.png,0
1726.png,0
1860.png,0
1656.png,1
90_10.6_1.png,0
1678.png,0
1715.png,2
1722.png,0
1845.png,1
1973.png,0
1719.png,0
1918.png,0
